nbits,time1,memory1,compressionRate,nNodes,nNodesCompressed,time2,memory2
1024,0.011129617691,975744,68.4416218857,2047,1401,0.00402069091797,831776
1524,0.0237119197845,1787280,51.5018315018,4095,2109,0.00500011444092,1438280
2024,0.0259664058685,2094968,63.6141636142,4095,2605,0.00518393516541,1672768
2524,0.0646977424622,3483464,41.1060920523,8191,3367,0.00851345062256,2620712
3024,0.0688753128052,3817952,49.8229764376,8191,4081,0.00767517089844,2964168
3524,0.0732879638672,4223328,58.0271029178,8191,4753,0.00800657272339,3323816
4024,0.0811071395874,4533672,65.2545476743,8191,5345,0.00654220581055,3618880
4524,0.182081460953,7103432,37.4717695172,16383,6139,0.00873136520386,5222264
5024,0.203697681427,7414640,40.8289080144,16383,6689,0.00919842720032,5474640
5524,0.236222505569,7829672,45.6021485686,16383,7471,0.0115120410919,5890288
6024,0.235974550247,8138520,48.6907159861,16383,7977,0.00949931144714,6140760
6524,0.290494441986,8673288,52.7314899591,16383,8639,0.00851345062256,6546296
7024,0.30242562294,8996848,56.6379783922,16383,9279,0.00870418548584,6870944
7524,0.261481523514,9406480,61.0694012086,16383,10005,0.00750088691711,7274872
8024,0.29106259346,9734648,65.6229017884,16383,10751,0.00951361656189,7679736
8524,0.715440034866,14700832,35.1725821711,32767,11525,0.0115151405334,10556632
9024,0.723747253418,15018664,36.9914853359,32767,12121,0.0106575489044,10821048
9524,0.74765586853,15416848,38.9690847499,32767,12769,0.0123696327209,11151200
10024,0.806806564331,15720352,40.5682546464,32767,13293,0.0115103721619,11409368
10524,0.882951974869,16291168,43.0341502121,32767,14101,0.0125105381012,11919096
11024,1.00901293755,16606152,44.7737052522,32767,14671,0.0140142440796,12191624
11524,1.09754729271,17016160,46.8977935118,32767,15367,0.0175230503082,12580816
12024,1.10500621796,17310048,48.9547410504,32767,16041,0.014111995697,12928936
12524,1.26153421402,18136448,50.7675405133,32767,16635,0.019011259079,13443920
13024,1.24440479279,18499728,53.5081026643,32767,17533,0.0166864395142,13914288
13524,1.30824303627,18861904,54.6006653035,32767,17891,0.0157904624939,14100376
14024,1.05170416832,19224520,57.4144718772,32767,18813,0.0171279907227,14604192
14524,1.18132781982,19740152,58.6718344676,32767,19225,0.0151872634888,14897976
15024,1.14821743965,20092936,61.4734336375,32767,20143,0.0155215263367,15399152
15524,1.069024086,20486032,63.4022034364,32767,20775,0.0145201683044,15778400
16024,1.0223710537,20816144,65.5507065035,32767,21479,0.0145087242126,16168904
16524,2.15893602371,30659888,33.6781872282,65535,22071,0.018134355545,21481592
17024,2.28705453873,30930160,34.2244602121,65535,22429,0.0171663761139,21588632
17524,2.54136800766,31335920,35.3170061799,65535,23145,0.0174689292908,21964192
18024,2.3735678196,31707112,36.8734264134,65535,24165,0.0179998874664,22526544
18524,2.74352002144,32254216,37.8805218585,65535,24825,0.0193152427673,22937776
19024,2.57189583778,32564784,38.7136644541,65535,25371,0.0188927650452,23199824
19524,2.61132645607,32992720,40.0076295109,65535,26219,0.0186991691589,23683416
20024,2.94572329521,33277328,40.6149385824,65535,26617,0.0199778079987,23853368
20524,2.83206701279,34152984,41.9394216831,65535,27485,0.0210018157959,24554824
21024,2.64796471596,34449056,42.6352330816,65535,27941,0.0201072692871,24753848
21524,2.72301435471,34864920,43.7979705501,65535,28703,0.0193312168121,25184688
22024,2.65571022034,35206664,44.9179827573,65535,29437,0.021760225296,25565256
22524,3.15639686584,35460336,46.0044251164,65535,30149,0.0241487026215,25940248
23024,2.93563842773,36022720,47.0969710842,65535,30865,0.0228352546692,26406624
23524,3.03191518784,36314672,47.70733196,65535,31265,0.02090716362,26595912
24024,2.89013600349,36722872,48.7663080797,65535,31959,0.0219888687134,27016064
24524,2.92435836792,37041744,49.7245746548,65535,32587,0.0190238952637,27363064
25024,2.9701025486,38501616,50.9086747539,65535,33363,0.0209169387817,28214896
25524,3.16551995277,38827496,52.0561532006,65535,34115,0.0230512619019,28603168
26024,3.35740160942,39217992,52.9228656443,65535,34683,0.0276334285736,28914112
26524,3.43399834633,39540648,53.8750286107,65535,35307,0.0240480899811,29256320
27024,3.31612014771,40080312,54.6868085756,65535,35839,0.0213823318481,29605872
27524,3.11501288414,40407792,55.9838254368,65535,36689,0.0201725959778,30070624
28024,3.19930410385,40838880,57.2350652323,65535,37509,0.0220367908478,30560120
28524,3.32055187225,41178608,58.6022735943,65535,38405,0.0234560966492,31096072
29024,3.1574640274,42015320,59.4567788205,65535,38965,0.0244016647339,31575784
29524,3.34923195839,42335000,60.3692683299,65535,39563,0.0232367515564,31906224
30024,3.43995857239,42730536,61.1841000992,65535,40097,0.0256848335266,32211552
30524,3.284252882,42995536,61.6296635386,65535,40389,0.0241711139679,32343616
31024,3.54659366608,43553192,62.7069504845,65535,41095,0.0263135433197,32834856
31524,3.54278063774,43929936,64.3915465019,65535,42199,0.0250127315521,33498544
32024,3.39025616646,44336976,65.3925383383,65535,42855,0.0247185230255,33908840
