nbits,time1,memory1,compressionRate,nNodes,nNodesCompressed,time2,memory2
1024,0.00807189941406,974800,66.9760625305,2047,1371,0.00394725799561,1324032
1524,0.0230991840363,1776480,49.2063492063,4095,2015,0.0036735534668,2353936
2024,0.0268688201904,2109936,66.8864468864,4095,2739,0.00551199913025,2824320
2524,0.0630927085876,3481872,41.1060920523,8191,3367,0.00600957870483,4526704
3024,0.0746817588806,3809176,49.0904651447,8191,4021,0.00693106651306,4985528
3524,0.0788207054138,4217392,57.7585154438,8191,4731,0.00679206848145,5539168
4024,0.0853567123413,4547888,66.71957026,8191,5465,0.00651216506958,6007912
4524,0.186424016953,7089224,36.8613806995,16383,6039,0.00851511955261,9087280
5024,0.211638212204,7417560,41.0852713178,16383,6731,0.00953459739685,9549952
5524,0.218851089478,7818224,45.0405908564,16383,7379,0.00951218605042,10091360
6024,0.276364803314,8133608,48.6663004334,16383,7973,0.0145375728607,10532184
6524,0.273667097092,8690544,53.8790209363,16383,8827,0.0107519626617,11258848
7024,0.272796869278,9002104,56.8943416957,16383,9321,0.0127391815186,11691432
7524,0.319297552109,9429128,62.4244643838,16383,10227,0.0135679244995,12279648
8024,0.304343938828,9731168,65.1956296161,16383,10681,0.0105135440826,12696552
8524,0.666201591492,14664888,34.2265083773,32767,11215,0.015873670578,18583888
9024,0.691777467728,15005624,36.6679891354,32767,12015,0.0212512016296,19071248
9524,0.865651369095,15418872,38.9873958556,32767,12775,0.019556760788,19634768
10024,0.735291242599,15724832,40.5133213294,32767,13275,0.017019033432,20059008
10524,0.756148815155,16281000,42.8266243477,32767,14033,0.0169069766998,20776136
11024,0.780297517776,16618056,45.0727866451,32767,14769,0.0165121555328,21254312
11524,0.805774450302,17009304,46.8428601947,32767,15349,0.0170240402222,21779672
12024,0.808785676956,17303896,49.0829187902,32767,16083,0.0169200897217,22205536
12524,0.824768066406,18140424,50.6027405622,32767,16581,0.0179903507233,23218264
13024,0.827387094498,18479704,52.9770805994,32767,17359,0.0190255641937,23700912
13524,0.880419015884,18896952,55.5711539048,32767,18209,0.0184943675995,24271752
14024,0.958883285522,19214288,57.1214941862,32767,18717,0.0330607891083,24714840
14524,1.00857758522,19752840,58.9342936491,32767,19311,0.018806219101,25403344
15024,1.00382876396,20094680,61.503952147,32767,20153,0.0210592746735,25890856
15524,1.08768177032,20501880,63.8233588672,32767,20913,0.0300896167755,26444296
16024,1.13667368889,20827104,65.9047212134,32767,21595,0.0215919017792,26902528
16524,3.0880753994,30638968,33.4462500954,65535,21919,0.0473806858063,38494864
17024,3.42710733414,30974720,34.8195620661,65535,22819,0.0476415157318,38980224
17524,3.61524152756,31342504,35.3810940719,65535,23187,0.0481200218201,39464032
18024,3.93157124519,31680240,36.5072098878,65535,23925,0.0485615730286,39943640
18524,3.79575991631,32235744,37.6119630732,65535,24649,0.0381119251251,40659624
19024,3.20731520653,32544192,38.3810177768,65535,25153,0.0455377101898,41088328
19524,3.30563521385,32958592,39.5376516365,65535,25911,0.039947271347,41652816
20024,3.35830235481,33277208,40.5691615167,65535,26587,0.0402448177338,42103552
20524,3.47382712364,34136208,41.6708628977,65535,27309,0.0415408611298,43155544
21024,3.17409920692,34466744,42.7969787137,65535,28047,0.0375022888184,43623152
21524,3.4866399765,34832168,43.4683756771,65535,28487,0.0442702770233,44103792
22024,3.55216813087,35174608,44.4174868391,65535,29109,0.0424911975861,44589784
22524,3.67879986763,35461640,45.9586480507,65535,30119,0.0480897426605,45027024
23024,3.71475195885,36035840,47.2953383688,65535,30995,0.0482704639435,45775680
23524,3.82436323166,36310400,47.5974670024,65535,31193,0.0493392944336,46144488
24024,3.99893283844,36775984,49.4743266957,65535,32423,0.0464656352997,46799248
24524,3.84875202179,37062768,50.0328068971,65535,32789,0.0521614551544,47190744
25024,4.04661941528,38516304,51.2046997787,65535,33557,0.0549709796906,48898872
25524,4.01263999939,38839344,52.1904325933,65535,34203,0.0512480735779,49353408
26024,4.27577757835,39244792,53.3196002136,65535,34943,0.0504384040833,49904208
26524,4.46061611176,39542320,53.9299610895,65535,35343,0.0418832302094,50312528
27024,4.33933758736,40064648,54.6959639887,65535,35845,0.0533311367035,50971800
27524,4.44807696342,40462480,56.5392538338,65535,37053,0.0514528751373,51555768
28024,4.57741427422,40803104,56.9329365988,65535,37311,0.0440528392792,52001296
28524,4.34116172791,41130360,57.9156176089,65535,37955,0.0552942752838,52461440
29024,4.74300003052,41952912,58.6266880293,65535,38421,0.0534560680389,53452536
29524,4.54299521446,42300048,59.9725337606,65535,39303,0.0565521717072,53948688
30024,4.30335044861,42709376,60.9704737926,65535,39957,0.0445103645325,54504312
30524,4.52914571762,43041920,62.1576256962,65535,40735,0.053875207901,54978000
31024,4.69885611534,43606032,63.2867933165,65535,41475,0.0489680767059,55708480
31524,4.64109110832,43926584,64.37628748,65535,42189,0.0569360256195,56159224
32024,4.30928969383,44306952,65.1056687266,65535,42667,0.060643196106,56665312
